Disease name,Disease OMIM,Gene name,Gene OMIM,Locus,Distance from regulated gene,Literature,Type,ClinVar,Coodinates (hg38) 
X-linked deafness type 2,304400,POU3F4,300039,Xq21.1,920 kpz 5',"de Kok et al. 1996;
Ahn et al. 2009; Naranjo et al. 2010",deletion of cis element,VCV000011684.2,"920 kb upstream of the POU3F4 gene. Considering the POU3F4 gene coordinates (X:83400000 - 83500000 in GRCh38), the enhancer deletion region can be estimated to be around X:82400000 - 82500000 in the hg38 reference genome."
Van Buchem disease,239100,SOST,605740,17q21.31,35 kpz 3',"Balemans et al. 2002;
Loots et al. 2005",deletion of cis element,,
Langer mesomelic dysplasia; Léri–Weill dyschondrosteosis,249700; 127300,SHOX,312865,Xp22.33,150 kpz 3'; 200 kpz 3',Sabherwal et al. 2007; Fukami et al. 2005; Benito-Sanz et al. 2012,deletion of cis element,,
46;XY sex reversal (DSS- ang. dossage sensitive sex reversal),300018,NR0B1,300473,Xp21.2,11 kpz 5',Smyk et al. 2007b,deletion of cis element,,
46;XY sex reversal (gonadal dysgenesis),400044,SRY,480000,Yp11.2,1.8 kpz; 6-7 kpz; 63-70 kpz 5'; 2~3 kpz 3',"McElreavy et al. 1992;
Capel et al. 1993; McElreavy et al. 1996; Sharp et al. 2005",deletion of cis element,,
β-talasemia,613985,HBB,141900,11p15.4,60 kpz 5',Driscoll et al. 1989,deletion of cis element,,
α-talasemia,604131,HBA1; HBA2,141800; 141850,16p13.3,30-50 kpz 5',Viprakasit et al. 2006,deletion of cis element,,
Axenfeld-Rieger syndrome,180500,PITX2,601542,4q25,113 kpz 5',Trembath et al. 2004,deletion of cis element,,
Iridogoniodysgenesis,601631,FOXC1,601090,6p25.3,25 kpz; 1200 kpz 5',Davies et al. 1999,deletion of cis element,,
Blepharophimosis-Ptosis- Epicanthus inversus Syndrome (BPES),110100,FOXL2,605597,3q22.3,101 kpz; 183 kpz; 230 kpz; 283 kpz 5'; 28 kpz 3',Beysen et al. 2005; D'haene et al. 2009,deletion of cis element,,
Pierre Robin sequence,261800,SOX9,608160,17q24.3,1300 kpz 5'; 1560 kpz 3'; 1380 kpz',"Benko et al. 2009; Fukami et al. 2012; Sanchez-Castro et al.
2013",deletion of cis element,,
46;XY sex reversal,616425,SOX9,608160,17q24.3,607-640 kpz 5',Kim et al. 2015,deletion of cis element,,
Axenfeld-Rieger syndrome,180500,PITX2,601542,4q25,106 kpz 5',Volkmann et al. 2011,deletion of cis element,,
Nonsyndromic Congenital Retinal Nonattachment,221900,ATOH7,609875,10q21.3,20 kpz 5',Ghiasvand et al. 2011,deletion of cis element,,
"Deafness, craniofacial defects",N/A,DLX6; DLX5,600030; 600028,7q21.3,65 kpz; 80 kpz 5',Brown et al. 2010,deletion of cis element,,
Type 1 cleft hand and/or foot,186300,DLX6; DLX5,600030; 600028,7q21.3,> 900 kpz,Tayebi et al. 2014,deletion of cis element,,
Aniridia,106210,PAX6,607108,11p13,600 kpz 3',Wawrocka et al. 2012,deletion of cis element,,
Rett-like syndrome,613454,FOXG1,164874,14q12,600 kpz 3',Allou et al. 2012,deletion of cis element,,
Alveolar capillary dysplasia with abnormal distribution of pulmonary veins,265380,FOXF1,601089,16q24.1,250 kpz 5',Szafranski et al. 2013,deletion of cis element,,
Congenital adrenal hypoplasia,300200,NR0B1,300473,Xp21.2,4 kpz 5',Skinningsrud et al. 2009,translocation of cis regulatory element,,
β-talasemia,613985,HBB,141900,11p15.4,50 kpz 5',Kioussis et al. 1983,translocation of cis regulatory element,,
Aniridia,106210,PAX6,607108,11p13,125 kpz 3',"Fantes et al. 1995;
Kleinjan et al. 2001",translocation of cis regulatory element,,
Saethre–Chotzen syndrome,101400,TWIST,601622,7p21.1,260 kpz 3',Cai et al. 2003,translocation of cis regulatory element,,
Rieger syndrome,180500,PITX2,601542,4q25,90 kpz 5',Flomen et al. 1997,translocation of cis regulatory element,,
Liebenberg syndrome,186550,PITX1,602149,5q31.1,269 kpz 5',Spielmann et al. 2012,translocation of cis regulatory element,,
Greig cephalopolysyndactyly syndrome,175700,GLI3,165240,7p14.1,10 kpz 3',Vortkamp et al. 1991,translocation of cis regulatory element,,
Cataract; different types,610202,MAF,177075,16q23.2,1000 kpz 5',Jamieson et al. 2002,translocation of cis regulatory element,,
Lymphedema- distichiasis syndrome,153400,FOXC2,602402,16q24.1,120 kpz 3',Fang et al. 2000,translocation of cis regulatory element,,
Blepharophimosis-Ptosis- Epicanthus inversus Syndrome (BPES),110100,FOXL2,605597,3q22.3,171 kpz 5',Crisponi et al. 2004,translocation of cis regulatory element,,
Speech-language disorder-1,602081,FOXP2,605317,7q31.1,> 680 kpz 3',Scherer et al. 2003,translocation of cis regulatory element,,
