model,threshold,gene_precision,gene_recall,gene_f1,disease_precision,disease_recall,disease_f1
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,None,0.1875,0.75,0.3,0.0375,0.375,0.06818181818181818
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,0.0,0.1875,0.75,0.3,0.0375,0.375,0.06818181818181818
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,1.0,0.1875,0.75,0.3,0.0375,0.375,0.06818181818181818
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,2.0,0.1875,0.75,0.3,0.0375,0.375,0.06818181818181818
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,3.0,0.1875,0.75,0.3,0.0375,0.375,0.06818181818181818
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,4.0,0.1875,0.75,0.3,0.0375,0.375,0.06818181818181818
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,5.0,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.038461538461538464,0.42857142857142855,0.07058823529411765
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,6.0,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.038461538461538464,0.42857142857142855,0.07058823529411765
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,7.0,0.23076923076923078,0.8571428571428571,0.36363636363636365,0.039473684210526314,0.42857142857142855,0.07228915662650602
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,8.0,0.24,0.8571428571428571,0.375,0.04054054054054054,0.42857142857142855,0.07407407407407408
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,9.0,0.25,0.8,0.38095238095238093,0.06,0.6,0.1090909090909091
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,10.0,0.25,0.3333333333333333,0.28571428571428575,0.06666666666666667,0.3333333333333333,0.1111111111111111
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,None,0.1875,0.75,0.3,0.03571428571428571,0.375,0.06521739130434782
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,6.0,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.036585365853658534,0.42857142857142855,0.06741573033707865
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,7.0,0.24,0.8571428571428571,0.375,0.041666666666666664,0.42857142857142855,0.0759493670886076
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,8.0,0.23809523809523808,0.8333333333333334,0.37037037037037035,0.03076923076923077,0.3333333333333333,0.056338028169014086
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,9.0,0.2,0.3333333333333333,0.25,0.0,0.0,0
